country_code,geoName,geoCode,Salt,Beef,Wine,Rum,Carrot,Cheese,Sugar,Chicken Wings,Lettuce,Bread,Butter,Dill,Onion,Hot Dog,Lemon,Pork,Pasta,Coriander,Potato,Ketchup,Pizza,Hamburger,Cucumber,Cumin,Tomato,Chocolate,Salad,Chickpeas,Milk,Apple,Garlic,Banana,Ice Cream,Cheddar,Corn,Yogurt,Tequila,Seafood,Beer,Mustard,Soup,Rice,Parsley
AL,Berat,AL-01,0.0,0.0,22.195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,24.107142857142858,0.0,0.0,0.0,0.0,81.19999999999999,0.0,95.58620689655173,0.0,21.24074074074074,0.0,13.894736842105264,0.0,0.0,0.0,26.400000000000002,40.94117647058823,38.294117647058826,,36.666666666666664,31.319999999999997,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,15.365853658536585,0.0,109.71428571428571,0.0,0.0
AL,Dibër County,AL-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.689655172413794,0.0,0.0,0.0,11.578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,27.259999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95238095238095,0.0,0.0
AL,Durrës,AL-02,0.0,0.0,21.5609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.199999999999996,0.0,78.20689655172414,0.0,28.092592592592595,0.0,19.68421052631579,0.0,0.0,0.0,0.0,21.647058823529413,37.6764705882353,,28.0,33.059999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.341463414634145,0.0,74.66666666666666,0.0,0.0
AL,Elbasan,AL-03,0.0,0.0,18.70731707317073,0.0,0.0,10.875,10.222222222222221,0.0,0.0,23.142857142857146,12.068965517241379,0.0,70.97368421052632,0.0,84.0,0.0,84.41379310344828,0.0,30.14814814814815,0.0,23.157894736842106,0.0,0.0,0.0,16.0,47.05882352941176,52.5,,40.666666666666664,27.839999999999996,44.2,25.0,51.21951219512195,0.0,106.56,0.0,37.85714285714286,0.0,35.1219512195122,0.0,143.23809523809524,45.714285714285715,0.0
AL,Fier,AL-04,0.0,0.0,13.951219512195122,0.0,0.0,29.625,23.555555555555554,0.0,72.8,14.464285714285715,25.10344827586207,0.0,48.94736842105263,0.0,88.19999999999999,0.0,110.48275862068967,0.0,41.111111111111114,0.0,26.05263157894737,0.0,0.0,0.0,40.0,31.058823529411764,43.85294117647059,,49.33333333333333,34.22,44.2,67.0,30.731707317073173,0.0,241.92,0.0,34.285714285714285,0.0,22.390243902439025,0.0,112.76190476190476,47.142857142857146,46.5
AL,Gjirokastra,AL-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.10344827586207,0.0,68.51851851851852,0.0,34.73684210526316,0.0,0.0,0.0,0.0,0.0,61.76470588235294,,66.66666666666666,42.339999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.292682926829269,0.0,51.80952380952381,0.0,0.0
AL,Korca,AL-06,0.0,0.0,13.0,0.0,0.0,26.625,28.888888888888886,0.0,0.0,23.78571428571429,48.275862068965516,0.0,81.57894736842105,0.0,140.0,0.0,106.75862068965517,0.0,40.42592592592593,0.0,26.63157894736842,0.0,0.0,0.0,18.8,43.76470588235294,37.05882352941177,,39.33333333333333,28.419999999999998,86.66666666666667,58.0,20.48780487804878,0.0,100.8,0.0,71.42857142857143,0.0,35.5609756097561,0.0,124.95238095238095,57.142857142857146,0.0
AL,Kukës County,AL-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.319999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Lezhë County,AL-08,0.0,0.0,14.268292682926829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.19999999999999,0.0,94.3448275862069,0.0,32.2037037037037,0.0,27.789473684210527,0.0,0.0,0.0,14.0,35.76470588235294,43.23529411764706,,40.666666666666664,39.44,30.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.609756097560975,0.0,74.66666666666666,0.0,0.0
AL,Shkodër County,AL-10,0.0,0.0,19.658536585365855,0.0,0.0,37.5,44.44444444444444,0.0,0.0,20.892857142857146,14.482758620689657,0.0,39.1578947368421,0.0,95.19999999999999,0.0,111.72413793103449,0.0,34.94444444444445,0.0,28.36842105263158,6.018518518518518,48.705882352941174,0.0,36.4,43.76470588235294,43.85294117647059,,64.0,39.44,47.66666666666667,78.0,17.414634146341463,0.0,288.0,0.0,0.0,0.0,23.70731707317073,0.0,71.61904761904762,71.42857142857143,0.0
